image,image_url,product_id,title,color,fit,pattern,material,price,rating,category,product_url,wear_type
female_00098.webp,https://assets.newme.asia/wp-content/uploads/2025/12/27110927d0f5593c/NM-PRC-97-DRS-25-DEC-29115-WHITE(1).webp,8823850,White Floral Scoop Neck Mini Dress,,,Floral,,1099,4.7,Dresses,https://newme.asia/product/white-floral-scoop-neck-mini-dress,upper wear
female_00099.webp,https://assets.newme.asia/wp-content/uploads/2024/10/07143247bce1737f/NM-IN-56-DRS-24-OCT-9613-RED_(1).webp,2959541,Red Contrast Lapel Collared Bow Detailed Dress,,,,,1299,5.0,Dresses,https://newme.asia/product/red-contrast-lapel-collared-bow-detailed-dress,upper wear
female_00100.webp,https://assets.newme.asia/wp-content/uploads/2025/04/23102311b3f12c00/NM-PRC-103-DRS-24-JUN-6275-RED(1).webp,1994215,Red Draped One Shoulder Sheath Dress,,,,,1349,4.0,Dresses,https://newme.asia/product/red-draped-one-shoulder-sheath-dress,upper wear
female_00101.webp,https://assets.newme.asia/wp-content/uploads/2023/05/04110039/NM-PRC-25-DRS-23-APR-1192-WHITE-1.webp,223567,Cut Out Maxi Dress,,,,,1099,5.0,Dresses,https://newme.asia/product/cut-out-maxi-dress-2,upper wear
female_00102.webp,https://assets.newme.asia/wp-content/uploads/2026/06/12131138b2a1039f/NM-IN-54-DRS-26-MAY-33473-LAVENDER(0).webp,10829331,Lavender Ruffled Solid Mini Dress,,,Solid,,749,4.6,Dresses,https://newme.asia/product/lavender-ruffled-solid-mini-dress,upper wear
female_00103.webp,https://assets.newme.asia/wp-content/uploads/2026/05/30071202413f7a7b/NM-IN-56-DRS-26-JAN-22486-WHITE(0).webp,10684143,White Floral Square-Neck Mini Dress,"White, Peach",,Floral,,899,4.5,Dresses,https://newme.asia/product/white-floral-square-neck-mini-dress-7,upper wear
female_00104.webp,https://assets.newme.asia/wp-content/uploads/2026/01/23090716cca80584/NM-IN-56-DRS-25-DEC-22220-DARKGREEN_(1).webp,8864222,Dark Green Sqaure Neck Mini Dress,,,,,749,5.0,Dresses,https://newme.asia/product/dark-green-sqaure-neck-mini-dress,upper wear
female_00105.webp,https://assets.newme.asia/wp-content/uploads/2026/01/30122223a129bb9b/NM-IN-56-DRS-25-DEC-22164-GREEN(0).webp,8864153,Green Ruched Cut Out Mini Dress,,,Ruched,,799,5.0,Dresses,https://newme.asia/product/green-ruched-cut-out-mini-dress,upper wear
female_00106.webp,https://assets.newme.asia/wp-content/uploads/2025/12/181139375e6b8a2b/NM-IN-56-DRS-25-NOV-21969-BLACK(1).webp,8696591,Black Scoop Neck Rhinestone Mini Dress,,,,,749,4.4,Dresses,https://newme.asia/product/black-scoop-neck-rhinestone-mini-dress,upper wear
female_00107.webp,https://assets.newme.asia/wp-content/uploads/2025/12/08115335e4703e99/NM-IN-56-DRS-25-NOV-21974-SILVER(1).webp,8554614,Silver Cowl Neck Mini Dress,,,,,899,5.0,Dresses,https://newme.asia/product/silver-cowl-neck-mini-dress,upper wear
