image,image_url,product_id,title,color,fit,pattern,material,price,rating,category,product_url
00087.webp,https://d2wbq7o4qxi60y.cloudfront.net/8954500513954/1-800.webp,8954500513954,Slim Fit Seersucker Mandarin Shirt,['Green'],Slim Fit,Textured,Cotton,1199.0,4.5,Shirts,https://www.snitch.com/men-shirts/mandarin-collar-textured-slim-fit-100-cotton-shirt-4sfs015-04/8954500513954/buy
00088.webp,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/1_9ef01a1e-9d99-4405-b3aa-b9284b0814ee.jpg?v=1781196953,9248429932706,100% Cotton Slim Fit Shirt,['Green'],Slim Fit,Plain,Cotton,1099.0,4.4,Shirts,https://www.snitch.com/men-shirts/slim-fit-100-cotton-shirt-mp-4sfs072-06/9248429932706/buy
00089.webp,https://d2wbq7o4qxi60y.cloudfront.net/9215839535266/1-800.webp,9215839535266,OnLoop Edge Satin Slim Fit Stretch Shirt,['Navy'],Slim Fit,Plain,Cotton Blend,1699.0,4.5,Shirts,https://www.snitch.com/men-shirts/stretch-slim-fit-shirt-4sfs010-05/9215839535266/buy
00090.webp,https://d2wbq7o4qxi60y.cloudfront.net/9224471871650/1-800.webp,9224471871650,Regular Fit 100% Cotton Shirt,['Black'],Regular Fit,Plain,Cotton,1299.0,4.5,Shirts,https://www.snitch.com/men-shirts/regular-fit-100-cotton-shirt-4sfs011-07/9224471871650/buy
00091.webp,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/1_e4fc4a5f-af75-44eb-af49-79e0de9f6db0.jpg?v=1781627362,9252436705442,Grey Textured Shirt,['Grey'],Slim Fit,Textured,Polyester,999.0,4.3,Shirts,https://www.snitch.com/men-shirts/slim-fit-textured-shirt-mp-4sfs149-08/9252436705442/buy
00092.webp,https://d2wbq7o4qxi60y.cloudfront.net/9215839830178/1-800.webp,9215839830178,Orange Cotton Linen Shirt,['Orange'],Regular Fit,Plain,Linen Blend,1799.0,4.6,Shirts,https://www.snitch.com/men-shirts/linen-blend-regular-fit-shirt-4shs005-02/9215839830178/buy
00093.webp,https://d2wbq7o4qxi60y.cloudfront.net/9233081761954/1-800.webp,9233081761954,Slim Fit 100% Cotton Luxe Shirt,['White'],Slim Fit,Plain,Cotton,1799.0,4.1,Shirts,https://www.snitch.com/men-shirts/slim-fit-100-cotton-self-design-shirt-4lsfs015-07/9233081761954/buy
00094.webp,https://d2wbq7o4qxi60y.cloudfront.net/9233081729186/1-800.webp,9233081729186,Slim Fit 100% Cotton Luxe Shirt,['Black'],Slim Fit,Plain,Cotton,1799.0,4.4,Shirts,https://www.snitch.com/men-shirts/slim-fit-100-cotton-self-design-shirt-4lsfs015-06/9233081729186/buy
00095.webp,https://d2wbq7o4qxi60y.cloudfront.net/9233081696418/1-800.webp,9233081696418,Slim Fit 100% Cotton Luxe Shirt,['White'],Slim Fit,Plain,Cotton,1799.0,4.4,Shirts,https://www.snitch.com/men-shirts/slim-fit-100-cotton-self-design-shirt-4lsfs015-05/9233081696418/buy
00096.webp,https://d2wbq7o4qxi60y.cloudfront.net/9224471249058/1-800.webp,9224471249058,Cotton Linen Beige Mandarin Shirt,['Beige'],Regular Fit,Plain,Linen Blend,1499.0,4.3,Shirts,https://www.snitch.com/men-shirts/mandarin-collar-regular-fit-linen-blend-shirt-4sfs018-07/9224471249058/buy
